Running BrowserMob Proxy using LittleProxy implementation. To revert to the legacy implementation, run the proxy with the command-line option '--use-littleproxy false'.
[WARN  2024-06-06T16:56:23,863 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-2) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:23,941 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:23,942 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,000 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,000 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,011 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-2) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,011 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-2) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,040 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Cannot decode unsupported content encoding type br 
[WARN  2024-06-06T16:56:24,040 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-2-ProxyToServerWorker-4) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2024-06-06T16:56:24,073 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) Cannot decode unsupported content encoding type br 
